name,arm,c_px,L_over_A,iou,abs_err_cd_mean,cd_ref,cd_pert,ler_ref,ler_pert,lwr_ref,lwr_pert
00000007,constant,1.0,0.028272499119408243,0.9752662315355548,1.8000000000000114,70.975,72.775,3.56538569257663,3.565385692576629,5.342168334197913,5.342168334197913
00000007,rademacher,1.0,0.028272499119408243,0.9735451316901389,0.09257812499998863,70.975,70.882421875,3.56538569257663,4.670040223484509,5.342168334197913,6.709242129109967
00000007,gaussian,1.0,0.028272499119408243,0.9740033389707922,0.15410156249998863,70.975,70.8208984375,3.56538569257663,5.226575567535657,5.342168334197913,7.486366623575125
00000007,constant,2.0,0.028272499119408243,0.9517264498826684,3.6000000000000085,70.975,74.575,3.56538569257663,3.565385692576629,5.342168334197913,5.342168334197913
00000007,rademacher,2.0,0.028272499119408243,0.947681101812361,0.3125,70.975,70.6625,3.56538569257663,6.812554471537245,5.342168334197913,9.537797010782452
00000007,gaussian,2.0,0.028272499119408243,0.9479908419648441,0.19980468749999147,70.975,70.7751953125,3.56538569257663,8.233022430055149,5.342168334197913,11.841757803634419
00000007,constant,3.0,0.028272499119408243,0.9292962356792144,5.400000000000006,70.975,76.375,3.56538569257663,3.56538569257663,5.342168334197913,5.342168334197913
00000007,rademacher,3.0,0.028272499119408243,0.9228001134980469,0.3316406249999915,70.975,70.643359375,3.56538569257663,9.295130754315743,5.342168334197913,13.590092558040237
00000007,gaussian,3.0,0.028272499119408243,0.9230865183777572,0.427734375,70.975,70.547265625,3.56538569257663,11.376033166649716,5.342168334197913,16.435708965401055
00000028,constant,1.0,0.027524678878746416,0.9750091812293422,1.875,73.247314453125,75.122314453125,3.740323418568096,3.7403234185680936,5.189195007283946,5.189195007283946
00000028,rademacher,1.0,0.027524678878746416,0.9738108130794514,0.093505859375,73.247314453125,73.15380859375,3.740323418568096,4.776402500777026,5.189195007283946,6.59816981014119
00000028,gaussian,1.0,0.027524678878746416,0.9746528561240775,0.129150390625,73.247314453125,73.1181640625,3.740323418568096,5.328927279522266,5.189195007283946,7.389282598219127
00000028,constant,2.0,0.027524678878746416,0.9512490547072803,3.75,73.247314453125,76.997314453125,3.740323418568096,3.740323418568094,5.189195007283946,5.189195007283946
