split,name,pred_foreground_ratio,pred_component_count,pred_profile_count,pred_profile_total_length,pred_cd_mean,pred_cd_std,pred_lwr_3sigma,pred_ler_low_3sigma,pred_ler_high_3sigma,pred_ler_mean_3sigma,pred_edge_psd_hf_ratio_1d,pred_necking_score,pred_bulging_score,disagreement,fg_dev,cc_dev,label
in_dist,00000160,0.31323624,5.0,5.0,1961.0,41.873024,2.77389,8.3216701,4.2044702,5.6956812,4.9500757,0.038216987,0.9366985,0.62473852,0.006299570142794586,0.0002784800000000254,0.0,False
in_dist,00000161,0.38406372,5.0,5.0,2560.0,39.308984,0.83202619,2.4960786,1.9907308,1.5475254,1.7691281,0.041695289,0.063858604,0.058049972,0.0075822015167613666,0.0008392300000000241,0.0,False
in_dist,00000167,0.49370575,7.0,7.0,3584.0,36.113002,0.81355612,2.4406684,1.6200426,1.6323026,1.6261726,0.037857607,0.17846318,0.18666429,0.006206024469589955,0.0006408700000000156,0.0,False
in_dist,00000170,0.3693428,13.0,13.0,2086.0,46.421381,7.4604603,22.381381,11.17796,9.184368,10.181164,0.022217658,0.98317508,0.18218623,0.009975131804428994,0.00018692000000003484,0.0,False
in_dist,00000173,0.48059464,8.0,8.0,3586.0,35.13246,1.8839131,5.6517392,5.7247561,6.5442686,6.1345124,0.030713109,0.93852207,0.28773881,0.006862589441353095,0.0011520400000000208,0.0,False
in_dist,00000179,0.40636444,5.0,5.0,2560.0,41.611719,0.95768589,2.8730577,1.994188,1.8912017,1.9426948,0.045083732,0.084768087,0.059742215,0.0058056422125555285,3.815000000001456e-05,0.0,False
in_dist,00000183,0.5814743,11.0,11.0,4501.0,33.865585,0.91283812,2.7385144,2.1375195,1.771604,1.9545618,0.039609072,0.8809747,0.36134454,0.011175285076299502,0.0004882899999999468,0.0,False
in_dist,00000187,0.6247139,8.0,8.0,4096.0,39.981689,0.8803826,2.6411478,2.0502137,2.1342537,2.0922337,0.037653146,0.076938069,0.065892036,0.006690250211239146,7.630000000036219e-06,0.0,False
in_dist,00000191,0.63296127,12.0,12.0,5483.0,30.26646,2.2386981,6.7160942,4.7005744,4.5090577,4.6048161,0.024286597,0.95808656,0.26687876,0.012051141044341462,0.00022125000000006168,0.0,False
in_dist,00000193,0.49019241,6.0,6.0,3072.0,41.829753,0.84824206,2.5447262,1.7807643,1.9590682,1.8699162,0.050497936,0.070131322,0.060540439,0.006692627203159773,0.00033569999999999434,0.0,False
in_dist,00000194,0.52787399,7.0,7.0,3584.0,38.610212,0.81671501,2.450145,1.8895861,1.6110761,1.7503311,0.044038985,0.077311227,0.093698417,0.007051899026636055,0.0005989000000000688,0.0,False
in_dist,00000198,0.58276749,8.0,8.0,4096.0,37.29248,1.3626044,4.0878131,2.904036,2.6824606,2.7932483,0.042172672,0.19066148,0.21400778,0.008073018131067755,0.0003166199999999897,0.0,False
in_dist,00000408,0.34252167,5.0,5.0,2143.0,41.899207,1.2616442,3.7849325,2.3424848,2.4458053,2.3941451,0.038867941,0.84759358,0.14304813,0.007403577715102472,0.00043488000000002636,0.0,False
in_dist,00000411,0.57798767,11.0,11.0,3985.0,38.021832,3.8038772,11.411631,9.5761287,9.511524,9.5438264,0.020580535,0.95045466,0.46491182,0.00938478621424299,0.0017738299999999763,0.0,False
in_dist,00000412,0.58907318,11.0,11.0,4468.0,34.561549,3.3840863,10.152259,5.7301634,6.9736922,6.3519278,0.023746408,0.97484491,0.39034022,0.008727951615170038,0.0014114399999999305,0.0,False
in_dist,00000413,0.42344284,8.0,8.0,2961.0,37.488349,2.4177337,7.2532012,3.3684292,3.8383893,3.6034092,0.02749775,0.82085819,0.15971209,0.008227722702990659,0.0003356899999999996,0.0,False
in_dist,00000424,0.43166733,7.0,7.0,2823.0,40.084662,2.3592697,7.0778092,6.2959432,6.8276826,6.5618129,0.018593465,0.94922495,0.141106,0.006513406953707057,0.0007438700000000353,0.0,False
in_dist,00000425,0.25470734,7.0,7.0,1636.0,40.836186,3.2477407,9.743222,6.7987049,6.3044969,6.5516009,0.028295401,0.96851538,0.18067329,0.010186116935404055,0.0006484999999999963,0.0,False
in_dist,00000435,0.4950943,7.0,7.0,3584.0,36.212612,0.86606987,2.5982096,2.0367521,1.7494942,1.8931231,0.037366981,0.10437318,0.11953353,0.006379731080063955,0.0001449600000000273,0.0,False
in_dist,00000442,0.31155396,9.0,9.0,2085.0,39.171223,3.9579609,11.873883,6.6437655,4.8741685,5.758967,0.061585701,0.95190924,0.21621622,0.00862179116533024,0.000614170000000025,0.0,False
in_dist,00000446,0.37464523,5.0,5.0,2337.0,42.02439,1.3961332,4.1883996,2.5342754,2.5611548,2.5477151,0.047072416,0.9516884,0.087011033,0.007580513057857119,0.0009307800000000199,0.0,False
in_dist,00000455,0.38430023,5.0,5.0,2560.0,39.352344,0.85976094,2.5792828,1.6115064,2.0800463,1.8457763,0.037174362,0.090501122,0.077038145,0.005970053146712284,2.669999999999062e-05,0.0,False
in_dist,00000466,0.35431671,12.0,12.0,2140.0,43.40514,5.2573985,15.772195,7.1850465,7.7915741,7.4883103,0.016039225,0.97629276,0.1954023,0.011613232256075023,0.0013580299999999546,0.0,False
in_dist,00000473,0.40040588,5.0,5.0,2560.0,41.001562,0.93775674,2.8132702,2.1366704,2.181213,2.1589417,0.040535258,0.084498647,0.079822108,0.009093733100377865,0.0005683899999999742,0.0,False
in_dist,00000475,0.26467133,4.0,4.0,2048.0,33.87793,0.91721385,2.7516415,2.1930557,1.4604146,1.8267352,0.034373545,0.26594982,0.19283154,0.00624318430522719,0.0003242499999999704,0.0,False
in_dist,00000479,0.57932281,8.0,8.0,4096.0,37.07666,0.93572881,2.8071864,2.0442163,1.9241833,1.9841998,0.035380537,0.19832985,0.13569937,0.007264683927572513,0.0002593899999999705,0.0,False
in_dist,00000482,0.39829636,5.0,5.0,2560.0,40.785547,0.9218622,2.7655866,1.8884047,2.0447832,1.966594,0.044409051,0.071356976,0.073525301,0.006914472955969919,0.0002784800000000254,0.0,False
in_dist,00000489,0.35639954,14.0,14.0,1997.0,46.786179,8.1087257,24.326177,11.54096,11.211606,11.376283,0.016939201,0.95181892,0.20164327,0.009356914529827898,0.0005836499999999911,0.0,False
in_dist,00000493,0.47816467,6.0,6.0,3072.0,40.803385,0.925739,2.777217,1.9040042,1.9339169,1.9189605,0.048922199,0.090406632,0.086587436,0.00773183263907784,0.0010910000000000086,0.0,False
in_dist,00000513,0.51663971,7.0,7.0,3584.0,37.788504,0.87281088,2.6184326,1.9455559,1.7054905,1.8255232,0.041102939,0.10735915,0.08330463,0.006751356930311481,0.0010871900000000156,0.0,False
in_dist,00000517,0.35289383,10.0,10.0,2644.0,34.988275,3.8479725,11.543917,5.98057,5.2496399,5.615105,0.031812441,0.97483857,0.18002195,0.008850169736201785,0.0009612999999999983,0.0,False
in_dist,00000531,0.41613007,6.0,6.0,2633.0,41.430308,1.2374202,3.7122605,3.7385405,3.7457543,3.7421474,0.038566728,0.81074074,0.16259259,0.006250944613408471,0.00020981000000003247,0.0,False
in_dist,00000532,0.31023026,4.0,4.0,2048.0,39.709473,0.93602471,2.8080741,2.1220037,1.5989348,1.8604693,0.039103019,0.074029419,0.096410782,0.0066787403663437495,0.0004196199999999539,0.0,False
in_dist,00000536,0.31829453,16.0,16.0,2098.0,39.777884,7.7119222,23.135767,10.487946,11.752043,11.119994,0.023981135,0.97617906,0.16452442,0.01000700472688576,0.00043107000000003337,0.0,False
in_dist,00000543,0.30774689,4.0,4.0,2048.0,39.391602,0.78484845,2.3545453,1.8184917,1.4803954,1.6494436,0.043869677,0.06486208,0.066074403,0.006747458103154691,0.0003700300000000212,0.0,False
