split,model,name,disagreement,abs_err_cd_mean,pred_fg_dev,pred_cc_dev
standard,unet,00000007,0.006828523252712437,0.0109375,9.536999999998352e-05,0.0
standard,deeplabv3plus,00000007,0.008856276905400584,0.050390625,0.000598910000000008,0.0
standard,hrnet,00000007,0.006814783130135615,0.001171875,9.536999999998352e-05,0.0
standard,segformer,00000007,0.006994695228821679,0.061328125,0.0005874699999999788,0.0
standard,unet,00000028,0.009574850701920101,0.38216609,0.0020675700000000186,1.0
standard,deeplabv3plus,00000028,0.009713871652520911,0.056396484,0.0017929099999999254,0.0
standard,hrnet,00000028,0.0074948115886165345,0.0063476562,0.0008277899999999949,0.0
standard,segformer,00000028,0.008007863009270033,0.058349609,0.0008277899999999949,0.0
standard,unet,00000030,0.006473291464386022,0.035400391,9.917999999997651e-05,0.0
standard,deeplabv3plus,00000030,0.008471065864137706,0.010742188,0.0007209799999999822,0.0
standard,hrnet,00000030,0.006465127644699975,0.029052734,9.917999999997651e-05,0.0
standard,segformer,00000030,0.00687723505945026,0.043457031,0.00022505999999999915,0.0
standard,unet,00000033,0.006389545707330857,0.109375,0.00012588000000002264,0.0
standard,deeplabv3plus,00000033,0.008804683113795675,0.14306641,0.0003891000000000311,0.0
standard,hrnet,00000033,0.006581596928605382,0.093261719,0.00012588000000002264,0.0
standard,segformer,00000033,0.00674448687390139,0.051757812,0.0004234300000000024,0.0
standard,unet,00000036,0.005984557420825376,0.026611328,0.0002097999999999267,0.0
standard,deeplabv3plus,00000036,0.007852483550034095,0.046630859,0.0011444099999999846,0.0
standard,hrnet,00000036,0.0061327550529149955,0.013183594,0.0002097999999999267,0.0
standard,segformer,00000036,0.006364119081599395,0.049072266,0.000560759999999938,0.0
standard,unet,00000049,0.005849592328830977,0.036865234,0.00014114000000009508,0.0
standard,deeplabv3plus,00000049,0.007845618188305425,0.026855469,0.000995630000000025,0.0
standard,hrnet,00000049,0.005951406415575122,0.027832031,0.00014114000000009508,0.0
standard,segformer,00000049,0.0064011970533343066,0.073486328,0.000713350000000057,0.0
standard,unet,00000051,0.5262149557728224,119.72289,0.25995636,2.0
standard,deeplabv3plus,00000051,0.28954754109720005,7.5088368,0.002479549999999997,3.0
standard,hrnet,00000051,0.2878232792378559,10.17232,0.002479549999999997,1.0
standard,segformer,00000051,0.35926355498741924,0.2405609,0.06200790000000003,1.0
standard,unet,00000080,0.00702295703484912,0.043025335,3.8099999999929857e-06,0.0
standard,deeplabv3plus,00000080,0.009986131299524081,0.013701577,0.00017928999999999862,0.0
standard,hrnet,00000080,0.006830025656580863,0.042426891,3.8099999999929857e-06,0.0
standard,segformer,00000080,0.007481122380030514,0.046017555,3.0510000000039117e-05,0.0
standard,unet,00000090,0.008479160474040959,0.10639992,0.000308990000000009,0.0
standard,deeplabv3plus,00000090,0.010442922312386194,0.081579472,1.5260000000016927e-05,0.0
standard,hrnet,00000090,0.008397139426530642,0.096349848,1.5260000000016927e-05,0.0
standard,segformer,00000090,0.009122690443755688,0.052517237,3.4339999999966064e-05,0.0
standard,unet,00000091,0.0064453595554315735,0.0053710938,0.0002250700000000494,0.0
standard,deeplabv3plus,00000091,0.008088347185254752,0.078613281,0.0011444099999999846,0.0
standard,hrnet,00000091,0.006496673621248061,0.019775391,0.0002250700000000494,0.0
standard,segformer,00000091,0.006774210141273329,0.00024414062,0.00030517000000007677,0.0
standard,unet,00000099,0.006697591319230756,0.034428916,8.774000000000282e-05,0.0
standard,deeplabv3plus,00000099,0.008841695051526544,0.076457868,0.000503539999999969,0.0
standard,hrnet,00000099,0.006657174373294161,0.019954404,8.774000000000282e-05,0.0
standard,segformer,00000099,0.006963561393218742,0.0045893347,0.0002365100000000231,0.0
standard,unet,00000104,0.005821309843522471,0.022135417,1.5260000000016927e-05,0.0
standard,deeplabv3plus,00000104,0.0075936226210210345,0.062825521,0.0010108999999999813,0.0
standard,hrnet,00000104,0.005810792579369672,0.0234375,1.5260000000016927e-05,0.0
standard,segformer,00000104,0.006041205320337695,0.042643229,0.00024032000000001608,0.0
standard,unet,00000105,0.005832161184545881,0.0033482143,0.00017548000000000563,0.0
standard,deeplabv3plus,00000105,0.0075506811480116065,0.075055804,0.000980380000000003,0.0
standard,hrnet,00000105,0.005663457739637168,0.016183036,0.00017548000000000563,0.0
standard,segformer,00000105,0.006167179969739478,0.015904018,0.00043869000000007485,0.0
standard,unet,00000109,0.005487435484015535,0.012369792,6.865999999999817e-05,0.0
standard,deeplabv3plus,00000109,0.007366922553492472,0.061523438,0.0005760199999999549,0.0
standard,hrnet,00000109,0.00552743527826538,0.018229167,6.865999999999817e-05,0.0
standard,segformer,00000109,0.005863106543261498,0.009765625,0.0003280600000000189,0.0
standard,unet,00000113,0.005850123792694895,0.072265625,0.0003280600000000744,0.0
standard,deeplabv3plus,00000113,0.007326641719135885,0.034598214,0.00038146999999999487,0.0
standard,hrnet,00000113,0.0058469146035023956,0.048270089,0.00019455000000001554,0.0
standard,segformer,00000113,0.006133162124429159,0.0625,0.00019455000000001554,0.0
standard,unet,00000114,0.005452850895819261,0.0029296875,5.341000000003149e-05,0.0
standard,deeplabv3plus,00000114,0.007180377254326076,0.051269531,0.0004768400000000339,0.0
standard,hrnet,00000114,0.005428827241112599,0.009765625,5.341000000003149e-05,0.0
standard,segformer,00000114,0.005626358271707876,0.043945312,0.0003204400000000329,0.0
standard,unet,00000124,0.01226368363579411,0.10481117,0.0024757399999999485,0.0
standard,deeplabv3plus,00000124,0.015797232987364018,0.050230382,0.0032730100000000206,0.0
standard,hrnet,00000124,0.012062804683771078,0.019508058,0.0024757399999999485,0.0
standard,segformer,00000124,0.013338468567121287,0.094784325,0.0032463099999999745,1.0
standard,unet,00000137,0.010673499544679443,0.91133923,0.002433779999999941,3.0
standard,deeplabv3plus,00000137,0.0102491901786389,0.096679688,0.0021896399999999927,1.0
standard,hrnet,00000137,0.008022221975304666,0.017089844,0.0005569500000000005,1.0
standard,segformer,00000137,0.008604099108494245,0.13398741,0.0005569500000000005,1.0
standard,unet,00000152,0.006211285000262912,0.019773004,0.00021744000000001318,0.0
standard,deeplabv3plus,00000152,0.008237455221059009,0.090435316,0.0010261500000000034,0.0
