name,r_bbox,abs_err_cd_mean,gt_foreground_ratio
0,0.39223480224609375,0.12478647,0.26465988
1,0.3839597702026367,4.2819641,0.24630737
10,0.1416015625,39.659691,0.11540222
11,0.7512187957763672,0.11328125,0.61968231
12,0.6328125,0.42578125,0.63884354
13,0.666015625,0.8640625,0.53097534
14,0.13671875,30.199355,0.1077652
15,0.6806640625,0.96289062,0.55493927
16,0.138671875,30.24771,0.11170959
17,0.8427734375,0.12396216,0.68413162
18,0.8349609375,0.1188151,0.70745087
19,0.8466796875,0.077473958,0.72665024
2,0.4159088134765625,7.1551282,0.26555252
20,0.8642578125,0.34261068,0.74401855
22,0.6767578125,3.3701869,0.53320312
23,0.685546875,0.24107143,0.56977463
24,0.609375,0.07421875,0.50151825
25,0.5623874664306641,0.0068775791,0.41586304
26,0.7462806701660156,0.11928825,0.53953934
27,0.8507175445556641,0.011338182,0.62424469
28,0.9287996292114258,0.061569054,0.68452454
29,0.7757663726806641,0.061482004,0.58247757
3,0.5152835845947266,0.22854679,0.3806572
30,0.911895751953125,0.0063559364,0.69387817
32,0.9436922073364258,0.14407044,0.65633392
33,0.6606836318969727,2.0357578,0.46006012
34,0.9144983291625977,0.058658782,0.68590164
35,0.8957805633544922,0.47091306,0.68115997
36,0.8817405700683594,0.026988382,0.69465256
37,0.7532672882080078,0.69052953,0.55242157
4,0.43652915954589844,0.070684106,0.3211174
40,0.6046562194824219,0.18671064,0.44071198
41,0.9170284271240234,0.064005107,0.6916275
44,0.78515625,1.3616071,0.5449791
45,0.8671875,0.29622396,0.67866898
47,0.9237079620361328,0.059945403,0.71715546
48,0.6042308807373047,0.0016048068,0.43989944
49,0.8553276062011719,1.0717657,0.604702
5,0.7178544998168945,0.33663366,0.51717758
50,0.8397150039672852,0.64061451,0.62282562
51,0.9102373123168945,1.6108342,0.65327835
52,0.8954935073852539,1.3250317,0.66986084
55,0.47022056579589844,0.17595545,0.34253311
56,0.8112325668334961,0.082287994,0.57044983
57,0.7568359375,0.27701823,0.63528442
58,0.5107421875,0.31282552,0.66895676
59,0.5180482864379883,0.21223958,0.67013168
6,0.7801570892333984,0.23880723,0.56000519
60,0.53125,0.35514323,0.66845703
62,0.5219507217407227,0.13378906,0.67105484
63,0.5014629364013672,0.31152344,0.6348877
64,0.5283203125,0.15722656,0.67078018
65,0.5219507217407227,0.15657552,0.67079163
66,0.7197942733764648,0.038853566,0.52526855
67,0.8652000427246094,0.12721879,0.61655426
69,0.7501668930053711,0.53819934,0.52011871
7,0.44795894622802734,5.7579239,0.26741409
70,0.6136865615844727,0.038189667,0.44745636
71,0.8976860046386719,0.050535195,0.67494202
72,0.9053783416748047,0.11943053,0.66113281
8,0.8173828125,0.016764323,0.66049194
9,0.1318359375,48.21715,0.10704041
