iou_bin,n,metric,p5,p50,p95,spread_p95_over_p5
"[0.98, 0.985)",12,abs_err_cd_mean,0.02394800965,0.074060862,0.5424111484999995,22.64952939418911
"[0.98, 0.985)",12,abs_err_lwr_3sigma,0.10028247735000001,0.336126345,1.0662438164999997,10.632404031849534
"[0.98, 0.985)",12,abs_err_ler_mean_3sigma,0.0650706266,0.18480964500000002,0.5451834909999999,8.378334733908954
"[0.985, 0.99)",177,abs_err_cd_mean,0.0052581447,0.043945312,0.12633133799999988,24.025838999828185
"[0.985, 0.99)",177,abs_err_lwr_3sigma,0.06945915100000001,0.2731113,0.6227530739999998,8.965745550215546
"[0.985, 0.99)",177,abs_err_ler_mean_3sigma,0.052526538000000005,0.18571849,0.34182571599999984,6.5076764815529975
"[0.99, 0.995)",42,abs_err_cd_mean,0.0031361607150000004,0.0310058595,0.07227008259999997,23.044125976815558
"[0.99, 0.995)",42,abs_err_lwr_3sigma,0.1243828185,0.20736200500000002,0.3444542999999999,2.769307723960282
"[0.99, 0.995)",42,abs_err_ler_mean_3sigma,0.09041009465,0.13731621,0.20332445599999993,2.2489132080562415
