fold,model,name,iou,abs_err_cd_mean,abs_err_lwr_3sigma,abs_err_ler_mean_3sigma
0,unet,6,0.9841469409353171,0.75637473,0.16089531,0.15465951
0,unet,16,0.9894487758996514,0.029541016,0.23815984,0.19320913
0,unet,18,0.9897093654097122,0.010742188,0.28257158,0.20736061
0,unet,19,0.9871941641589767,0.27622714,0.19847963,0.13857611
0,unet,25,0.985740282210171,0.07908828,0.2337994,0.064801175
0,unet,26,0.9897390252905403,0.042384474,0.20666146,0.077463382
0,unet,66,0.9883569299539755,0.070703125,0.13204573,0.080390385
0,unet,73,0.9863352024107955,0.049344465,0.09098164,0.062798625
0,unet,84,0.9894786679980674,0.031075266,0.44625578,0.25531795
0,unet,85,0.5823106459865021,46.126924,15.927905,8.2474838
0,unet,94,0.9807719855702114,0.58808368,0.11309885,0.065089905
0,unet,97,0.0,,,
0,unet,99,0.9897206505302756,0.065895247,0.39781806,0.2555864
0,unet,103,0.9905829487779086,0.012207031,0.25623179,0.18025567
0,unet,107,0.9894103776888171,0.05078125,0.26364278,0.19793338
0,unet,111,0.9899004081012113,0.05703125,0.3120502,0.19573206
0,unet,117,0.9893222420853313,0.024902344,0.20591305,0.19295343
0,unet,118,0.9900257106903047,0.028076172,0.22645958,0.14502767
0,unet,127,0.9730388925501714,0.7734375,0.25922605,0.20876102
0,unet,129,0.9892254745771125,0.061523438,0.17416983,0.076963308
0,unet,130,0.9894782288877069,0.010091146,0.19864446,0.12809288
0,unet,141,0.9896769957498224,0.0546875,0.2369862,0.12133449
0,unet,142,0.9883487696596829,0.068359375,0.18484144,0.12388397
0,unet,149,0.9898198096941355,0.004296875,0.33585232,0.22850753
0,unet,151,0.9875645128157815,0.0017089844,0.25936589,0.14582451
0,unet,160,0.9900026691890635,0.0096839959,0.18663742,0.12306426
0,unet,161,0.9901483197677279,0.042578125,0.28744027,0.16952726
0,unet,167,0.9893844520677323,0.050502232,0.15516869,0.11543771
0,unet,170,0.9888411222632582,0.088244556,0.82058344,0.37695571
0,unet,173,0.9896793714151144,0.025654155,0.11339725,0.064717525
0,unet,179,0.990823802047366,0.021484375,0.2410181,0.16434056
0,unet,183,0.9786303148322112,0.90275583,0.21541313,0.067750692
0,unet,187,0.9896426658871345,0.026611328,0.22340909,0.14133759
0,unet,191,0.9830387175260723,0.056736229,0.083607964,0.14996417
0,unet,193,0.9893104463268297,0.013020833,0.24093436,0.13746948
0,unet,194,0.9892101328418905,0.081752232,0.26120249,0.1522871
0,unet,198,0.988319750890195,0.016601562,0.18881612,0.15211787
0,unet,408,0.9892175223561994,0.090527298,0.24167017,0.22189156
0,unet,411,0.9887537613657538,0.025295739,0.015603788,0.011919545
0,unet,412,0.9890240437998831,0.0076147816,0.043734674,0.028279094
0,unet,413,0.988875132331208,0.0053175831,0.38583529,0.19751494
0,unet,424,0.9901604975238366,0.028389905,0.064025308,0.01662487
0,unet,425,0.9880068702845374,0.035660414,0.82198267,0.3738827
0,unet,435,0.9893443314135324,0.036551339,0.18452796,0.15901839
0,unet,442,0.988087246273007,0.075525703,0.4998979,0.21604995
0,unet,446,0.9897010877835098,0.012409071,0.099497086,0.11214787
0,unet,455,0.9902521406763353,0.0109375,0.25314571,0.17897268
0,unet,466,0.9871177423323353,0.03855769,1.0794624,0.5425623
0,unet,473,0.9877081079019423,0.042578125,0.35813602,0.21511674
0,unet,475,0.9889356083966119,0.0034179688,0.17930486,0.12759158
0,unet,479,0.989518506386512,0.035888672,0.15214473,0.13132752
0,unet,482,0.98884549437894,0.0453125,0.12662602,0.11945084
0,unet,489,0.9877488840820848,0.16999511,0.71200689,0.34949247
0,unet,493,0.9897433041034822,0.015950521,0.14562171,0.11612081
0,unet,513,0.9899726862444765,0.020926339,0.18022756,0.12096435
0,unet,517,0.9878797028144237,0.06568541,0.41263571,0.21561463
0,unet,531,0.990179704112486,0.0022787695,0.26529344,0.18437554
0,unet,532,0.989666331607799,0.0390625,0.15592654,0.091827929
0,unet,536,0.9858785988129142,0.2164723,1.1284478,0.57884776
0,unet,543,0.9895986460933286,0.026367188,0.19826938,0.12240608
0,unet,544,0.9839771234451613,0.1365189,0.22284462,0.1356623
0,unet,545,0.987155363908933,0.046657986,0.086135069,0.037586973
0,unet,548,0.9895784371320582,0.026757757,0.16511374,0.11414903
0,unet,554,0.9899963185312429,0.094029018,0.27551638,0.16001852
0,unet,566,0.9900689305055247,0.0074869792,0.27121482,0.17914247
0,unet,571,0.9886673948648435,0.015847486,0.087866589,0.0081510085
0,unet,585,0.9904151127519775,0.0390625,0.30251248,0.19230416
0,unet,605,0.9861809306543525,0.074726245,0.27955514,0.095853747
0,unet,607,0.9875790871905039,0.058238636,0.26546197,0.18067338
0,unet,608,0.9901466670743194,0.054199219,0.24756902,0.18776212
0,unet,609,0.9901410686101426,0.03671875,0.24034431,0.19016382
0,unet,614,0.987463483394061,0.11924419,0.083324083,0.012787804
0,unet,625,0.9901429413902945,0.04140625,0.19763237,0.15410799
0,unet,626,0.9899001844919463,0.011230469,0.23468813,0.14224483
0,unet,630,0.9894992576587128,0.011049871,0.40988991,0.25204321
0,unet,633,0.9879962145729063,0.013042161,0.037185066,0.035702005
0,unet,634,0.9902192968951031,0.061197917,0.30036248,0.17708281
0,unet,637,0.9882334359936545,0.10232056,0.49138303,0.22775236
0,unet,640,0.9897128273932214,0.011962891,0.24215679,0.17922847
0,unet,646,0.9901097989967781,0.062011719,0.20638801,0.13454795
0,unet,649,0.989278915707014,0.050130208,0.33387211,0.22681795
0,unet,651,0.9901302923627469,0.031982422,0.24147928,0.18227596
0,unet,656,0.9901138806865862,0.003125,0.22101989,0.15503446
0,unet,657,0.9894009612077698,0.0063476562,0.23983774,0.17467486
0,unet,659,0.9896777559357658,0.009765625,0.22528293,0.13427889
0,unet,665,0.990078195919009,0.028320312,0.21002769,0.16671139
0,unet,666,0.9892901069817488,0.016601562,0.31467792,0.16657303
0,unet,674,0.9906524400373369,0.04400108,0.9905295,0.4211552
0,unet,676,0.9806408715437558,0.36712641,0.61889985,0.11994589
0,unet,679,0.9889762503028184,0.028320312,0.28798054,0.16882336
0,unet,687,0.9888353334628683,0.003957705,0.30084909,0.18602789
0,unet,690,0.9846590694915447,0.19317682,1.1792594,0.59538286
0,unet,693,0.990763883928848,0.13964844,0.14607726,0.11017998
0,unet,694,0.9896599098544316,0.07109375,0.20061802,0.14961944
0,unet,695,0.9905636168513617,0.0053710938,0.15039814,0.12347246
0,unet,708,0.9885553270465686,0.055864458,0.32445675,0.13622948
0,unet,709,0.9894208708940819,0.017089844,0.25725767,0.17126862
0,unet,717,0.9860472608759582,0.15087891,0.32574667,0.19449247
0,unet,720,0.989912782590184,0.025390625,0.1957632,0.10960828
0,unet,723,0.9865275028486674,0.03168556,0.18196116,0.11916883
0,unet,728,0.9897421476684539,0.049560547,0.14208194,0.12196016
0,unet,731,0.9893672349023904,0.043294271,0.19310271,0.15085601
0,unet,735,0.9900853167362936,0.027734375,0.24543769,0.18850727
0,unet,741,0.989110401577636,0.04296875,0.17675473,0.113007
0,unet,742,0.9893877358922898,0.02062344,0.38356133,0.18422353
0,unet,746,0.99014300306334,0.021484375,0.13788967,0.13262561
0,unet,754,0.9896368228278896,0.035546875,0.27379955,0.17169857
0,unet,763,0.9875703071877201,0.053802632,0.22742238,0.12743621
0,unet,764,0.9890425889625951,0.013671875,0.15219668,0.117776
0,unet,769,0.967842975934553,0.0098228701,0.13513786,0.06134918
0,unet,770,0.9902696435270465,0.050537109,0.19045141,0.12290015
0,unet,776,0.9879903172457101,0.042772934,0.37169276,0.17870608
0,unet,777,0.9897171730422011,0.0085449219,0.22290985,0.14699001
0,unet,783,0.989512931847282,0.0040862279,0.3347793,0.22364209
0,unet,785,0.9898533871423265,0.0625,0.30114279,0.1932705
0,unet,787,0.9893116980457787,0.024052128,0.30874871,0.13874412
0,unet,819,0.9898153623750483,0.063671875,0.15546925,0.089308289
0,unet,823,0.3703564619559938,,,
0,deeplabv3plus,6,0.9600927474102224,5.0425041,0.44121395,0.3452156
0,deeplabv3plus,16,0.9861364090207221,0.049560547,0.35590338,0.28526676
0,deeplabv3plus,18,0.9865802276577823,0.061035156,0.45131493,0.32923562
0,deeplabv3plus,19,0.9837904243303116,0.50879669,0.3892738,0.24556738
0,deeplabv3plus,25,0.9902674465941125,0.39304326,0.89861934,0.4645986
0,deeplabv3plus,26,0.9856020503878102,0.091275859,0.45428782,0.24630632
0,deeplabv3plus,66,0.9852515598022232,0.027734375,0.20472049,0.16568415
0,deeplabv3plus,73,0.9856646591145303,0.0095486111,0.40774571,0.26361223
0,deeplabv3plus,84,0.9852234849466087,0.051593724,0.57879776,0.33715293
0,deeplabv3plus,85,0.760210939922768,26.968098,13.127303,6.2936061
